PING 117.211.91.133 (117.211.91.133) 56(84) bytes of data.
64 bytes from 117.211.91.133: icmp_req=1 ttl=59 time=61.2 ms
64 bytes from 117.211.91.133: icmp_req=2 ttl=59 time=62.1 ms
64 bytes from 117.211.91.133: icmp_req=3 ttl=59 time=60.7 ms
64 bytes from 117.211.91.133: icmp_req=4 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=5 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=6 ttl=59 time=61.8 ms
64 bytes from 117.211.91.133: icmp_req=7 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=8 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=9 ttl=59 time=62.0 ms
64 bytes from 117.211.91.133: icmp_req=10 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=11 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=12 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=13 ttl=59 time=63.1 ms
64 bytes from 117.211.91.133: icmp_req=14 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=15 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=16 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=17 ttl=59 time=61.4 ms
64 bytes from 117.211.91.133: icmp_req=18 ttl=59 time=61.0 ms
64 bytes from 117.211.91.133: icmp_req=19 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=20 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=21 ttl=59 time=62.9 ms
64 bytes from 117.211.91.133: icmp_req=22 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=23 ttl=59 time=60.8 ms
64 bytes from 117.211.91.133: icmp_req=24 ttl=59 time=60.8 ms
64 bytes from 117.211.91.133: icmp_req=25 ttl=59 time=60.8 ms
64 bytes from 117.211.91.133: icmp_req=26 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=27 ttl=59 time=64.9 ms
64 bytes from 117.211.91.133: icmp_req=28 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=29 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=30 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=31 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=32 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=33 ttl=59 time=61.4 ms
64 bytes from 117.211.91.133: icmp_req=34 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=35 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=36 ttl=59 time=62.0 ms
64 bytes from 117.211.91.133: icmp_req=37 ttl=59 time=60.8 ms
64 bytes from 117.211.91.133: icmp_req=38 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=39 ttl=59 time=61.1 ms
64 bytes from 117.211.91.133: icmp_req=40 ttl=59 time=62.9 ms
64 bytes from 117.211.91.133: icmp_req=41 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=42 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=43 ttl=59 time=61.0 ms
64 bytes from 117.211.91.133: icmp_req=44 ttl=59 time=61.8 ms
64 bytes from 117.211.91.133: icmp_req=45 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=46 ttl=59 time=62.3 ms
64 bytes from 117.211.91.133: icmp_req=47 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=48 ttl=59 time=64.9 ms
64 bytes from 117.211.91.133: icmp_req=49 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=50 ttl=59 time=61.5 ms
